gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2587796919	254	45.6	1	233	1	232	0.0e+00	204.9	KO:K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]	EC:3.1.3.16	Yes
2587796920	350	67.4	1	350	1	349	0.0e+00	488.8	KO:K07023	putative hydrolases of HD superfamily		Yes
2587796921	202	54	1	202	1	199	0.0e+00	231.5	KO:K03610	septum site-determining protein MinC		Yes
2587796922	856	81.9	1	855	1	856	0.0e+00	1419.8	KO:K03070	preprotein translocase subunit SecA		Yes
2587796923	136	72.6	1	135	1	135	0.0e+00	208.8	KO:K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	EC:5.1.99.1	Yes
2587796927	134	84.1	1	132	1	132	0.0e+00	224.6	KO:K01849	methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	EC:5.4.99.2	Yes
2587796928	291	66.6	1	290	1	289	0.0e+00	397.5	KO:K07588	LAO/AO transport system kinase [EC:2.7.-.-]	EC:2.7.-	Yes
2587796930	320	81.1	3	320	1	316	0.0e+00	530	KO:K06217	phosphate starvation-inducible protein PhoH and related proteins		Yes
2587796931	455	70.8	6	450	2	447	0.0e+00	666.4	KO:K07037			Yes
2587796932	133	65.9	6	133	5	133	0.0e+00	186	KO:K07042	probable rRNA maturation factor		Yes
2587796933	284	65.7	4	280	1	275	0.0e+00	372.5	KO:K08978	bacterial/archaeal transporter family protein		Yes
2587796935	222	76.5	2	222	4	224	0.0e+00	340.1	KO:K07150			Yes
2587796937	477	71.1	1	477	1	476	0.0e+00	703.4	KO:K01840	phosphomannomutase [EC:5.4.2.8]	EC:5.4.2.8	Yes
2587796939	130	94.6	1	130	1	130	0.0e+00	260	KO:K01611	S-adenosylmethionine decarboxylase [EC:4.1.1.50]	EC:4.1.1.50	Yes
2587796940	290	94.1	1	290	10	299	0.0e+00	578.6	KO:K00797	spermidine synthase [EC:2.5.1.16]	EC:2.5.1.16	Yes
2587796941	340	84.7	1	340	1	340	0.0e+00	610.5	KO:K11069	spermidine/putrescine transport system substrate-binding protein		Yes
2587796942	365	77.1	1	363	1	363	0.0e+00	588.2	KO:K11072	spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]	EC:3.6.3.31	Yes
2587796943	271	78.8	1	269	1	269	0.0e+00	442.6	KO:K11071	spermidine/putrescine transport system permease protein		Yes
2587796944	256	79.7	1	256	1	256	0.0e+00	420.6	KO:K11070	spermidine/putrescine transport system permease protein		Yes
2587796949	258	77.4	2	258	1	257	0.0e+00	424.9	KO:K09007	GTP cyclohydrolase I [EC:3.5.4.16]	EC:3.5.4.16	Yes
2587796950	459	55	3	457	5	466	0.0e+00	491.5	KO:K00696	sucrose-phosphate synthase [EC:2.4.1.14]	EC:2.4.1.14	Yes
2587796951	303	56.8	3	303	2	290	0.0e+00	331.3	KO:K00847	fructokinase [EC:2.7.1.4]	EC:2.7.1.4	Yes
2587796952	367	74.4	1	367	1	367	0.0e+00	547	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	Yes
2587796954	268	62.2	1	259	1	255	0.0e+00	344	KO:K01990	ABC-2 type transport system ATP-binding protein		Yes
2587796956	328	70.6	1	326	1	325	0.0e+00	484.2	KO:K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	EC:1.97.1.4	Yes
2587796957	354	67.5	1	354	1	352	0.0e+00	503.8	KO:K03734	thiamine biosynthesis lipoprotein		Yes
2587796958	115	74.6	1	114	1	112	2.7e-40	166.4	KO:K09747	hypothetical protein		Yes
2587796959	225	69.7	1	218	1	218	0.0e+00	341.3	KO:K19225	rhomboid protease GluP [EC:3.4.21.105]	EC:3.4.21.105	Yes
2587796960	406	92.4	1	406	1	406	0.0e+00	750.4	KO:K00925	acetate kinase [EC:2.7.2.1]	EC:2.7.2.1	Yes
2587796961	311	84.2	1	311	1	311	0.0e+00	528.1	KO:K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	EC:4.1.2.13	Yes
2587796964	418	67.6	1	418	1	417	0.0e+00	592.8	KO:K03590	cell division protein FtsA		Yes
2587796965	351	81.8	1	351	1	351	0.0e+00	577.4	KO:K03531	cell division protein FtsZ		Yes
2587796966	565	73.8	1	565	1	565	0.0e+00	850.9	KO:K02652	type IV pilus assembly protein PilB		Yes
2587796967	185	84.3	1	185	1	185	0.0e+00	325.1	KO:K02838	ribosome recycling factor		Yes
2587796968	226	78.6	3	226	2	225	0.0e+00	380.6	KO:K00806	undecaprenyl diphosphate synthase [EC:2.5.1.31]	EC:2.5.1.31	Yes
2587796969	270	68.9	3	269	4	270	0.0e+00	402.9	KO:K00981	phosphatidate cytidylyltransferase [EC:2.7.7.41]	EC:2.7.7.41	Yes
2587796970	859	73.3	1	859	1	859	0.0e+00	1315.4	KO:K01872	alanyl-tRNA synthetase [EC:6.1.1.7]	EC:6.1.1.7	Yes
2587796971	337	90.8	1	337	1	337	0.0e+00	600.5	KO:K03569	rod shape-determining protein MreB and related proteins		Yes
2587796973	415	71.5	1	414	1	414	0.0e+00	604	KO:K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	EC:2.5.1.7	Yes
2587796977	686	84.8	1	685	1	685	0.0e+00	1171.8	KO:K02355	elongation factor G		Yes
2587796978	387	64.8	8	382	25	422	0.0e+00	537.3	KO:K07137			Yes
2587796979	403	59.8	1	397	1	398	0.0e+00	498	KO:K01939	adenylosuccinate synthase [EC:6.3.4.4]	EC:6.3.4.4	Yes
2587796980	517	74.7	4	517	1	513	0.0e+00	800.4	KO:K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	EC:6.3.5.2	Yes
2587796981	428	71.7	1	427	1	425	0.0e+00	624.4	KO:K01756	adenylosuccinate lyase [EC:4.3.2.2]	EC:4.3.2.2	Yes
2587796983	170	60.8	1	166	1	166	0.0e+00	212.6	KO:K06024	segregation and condensation protein B		Yes
2587796984	228	64.5	1	217	1	217	0.0e+00	287.3	KO:K05896	segregation and condensation protein A		Yes
2587796985	200	84	1	200	1	200	0.0e+00	344.7	KO:K04767	acetoin utilization protein AcuB		Yes
2587796987	386	66.6	1	386	1	386	0.0e+00	540	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:4.1.1.36	Yes
2587796987	386	66.6	1	386	1	386	0.0e+00	540	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:6.3.2.5	Yes
2587796988	264	72.7	1	264	1	264	0.0e+00	403.7	KO:K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	EC:2.1.2.11	Yes
2587796990	255	70.8	3	255	2	254	0.0e+00	357.8	KO:K02013	iron complex transport system ATP-binding protein [EC:3.6.3.34]	EC:3.6.3.34	Yes
2587796992	113	74.1	1	112	1	112	5.4e-41	168.7	KO:K09775	hypothetical protein		Yes
2587796993	259	53.6	1	258	1	259	0.0e+00	275.8	KO:K09765	hypothetical protein		Yes
2587796994	149	77.2	1	149	1	149	0.0e+00	233.4	KO:K07560	D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]	EC:3.1.-	Yes
2587796995	707	77.2	1	707	1	708	0.0e+00	1135.2	KO:K00951	GTP pyrophosphokinase [EC:2.7.6.5]	EC:2.7.6.5	Yes
2587797001	148	75.7	1	148	1	148	0.0e+00	245	KO:K03518	carbon-monoxide dehydrogenase small subunit [EC:1.2.99.2]	EC:1.2.99.2	Yes
2587797003	280	52.6	4	276	5	278	0.0e+00	291.2	KO:K13479	xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]	EC:1.17.1.4	Yes
2587797004	157	75.2	1	157	1	154	0.0e+00	242.7	KO:K03518	carbon-monoxide dehydrogenase small subunit [EC:1.2.99.2]	EC:1.2.99.2	Yes
2587797005	403	69.4	1	402	1	402	0.0e+00	577.8	KO:K01733	threonine synthase [EC:4.2.3.1]	EC:4.2.3.1	Yes
2587797006	181	69.4	2	181	1	180	0.0e+00	267.7	KO:K06951			Yes
2587797008	636	79.5	1	635	1	635	0.0e+00	1078.5	KO:K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	EC:6.1.1.3	Yes
2587797013	400	77.5	1	383	1	383	0.0e+00	622.5	KO:K01581	ornithine decarboxylase [EC:4.1.1.17]	EC:4.1.1.17	Yes
2587797015	237	71.8	1	237	1	238	0.0e+00	365.5	KO:K05946	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	EC:2.4.1.187	Yes
2587797016	209	64.4	3	209	5	212	0.0e+00	265	KO:K03501	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	EC:2.1.1.170	Yes
2587797017	441	68.9	1	441	1	441	0.0e+00	628.2	KO:K03650	tRNA modification GTPase [EC:3.6.-.-]	EC:3.6.-	Yes
2587797019	265	60.3	10	265	4	258	0.0e+00	315.8	KO:K03796	Bax protein		Yes
2587797021	372	66.1	1	366	1	366	0.0e+00	513.5	KO:K01999	branched-chain amino acid transport system substrate-binding protein		Yes
2587797022	304	72	1	304	1	303	0.0e+00	448.4	KO:K01997	branched-chain amino acid transport system permease protein		Yes
2587797023	353	71.3	1	353	4	358	0.0e+00	527.7	KO:K01998	branched-chain amino acid transport system permease protein		Yes
2587797024	285	74.9	10	284	17	291	0.0e+00	422.2	KO:K01995	branched-chain amino acid transport system ATP-binding protein		Yes
2587797025	239	77.7	2	239	1	238	0.0e+00	378.6	KO:K01996	branched-chain amino acid transport system ATP-binding protein		Yes
2587797027	367	90.2	1	367	1	367	0.0e+00	672.2	KO:K10112	multiple sugar transport system ATP-binding protein		Yes
2587797032	467	69.6	1	467	1	467	0.0e+00	672.9	KO:K08482	circadian clock protein KaiC		Yes
2587797035	93	87	25	93	1	69	2.1e-30	133.3	KO:K02909	large subunit ribosomal protein L31		Yes
2587797036	122	82.1	1	122	1	123	0.0e+00	203.4	KO:K07571	S1 RNA binding domain protein		Yes
